A	5.75%	17.13%	9.84%	7.64%	4.12%
B	6.82%	0.61%	2.50%	1.64%	0.41%
C	7.70%	1.41%	3.16%	3.32%	1.12%
D	5.29%	0.67%	3.17%	3.53%	6.74%
E	2.22%	12.31%	6.54%	19.74%	10.78%
F	4.98%	0.16%	1.41%	1.75%	0.61%
G	4.81%	0.57%	2.78%	3.14%	1.02%
H	3.87%	4.40%	0.80%	1.61%	2.95%
I	1.37%	11.19%	8.60%	6.68%	1.64%
J	1.55%	0.08%	0.24%	0.13%	0.00%
K	2.39%	0.64%	1.73%	3.76%	2.11%
L	4.64%	5.89%	6.76%	6.16%	3.99%
M	5.14%	1.34%	3.90%	3.11%	1.45%
N	2.32%	2.77%	7.30%	6.07%	4.21%
O	2.10%	15.46%	7.84%	5.27%	2.58%
P	6.54%	1.75%	2.83%	3.16%	1.39%
Q	0.61%	0.14%	0.09%	0.00%	0.02%
R	4.85%	7.47%	9.16%	5.28%	6.06%
S	12.23%	0.75%	3.95%	4.10%	31.21%
T	6.35%	1.92%	5.13%	7.23%	5.56%
U	1.35%	9.16%	5.14%	2.96%	0.29%
V	1.86%	0.45%	1.93%	1.12%	0.02%
W	3.43%	1.13%	1.81%	1.03%	0.46%
X	0.15%	0.51%	1.05%	0.09%	0.54%
Y	1.09%	1.91%	1.38%	0.73%	10.49%
Z	0.59%	0.17%	0.95%	0.73%	0.21%
